defense,total,unsafe,asr_pct
none,498,237,47.6
spd,498,84,16.9
counter-tvd,499,104,20.8

defense,language,total,unsafe,asr_pct
none,python_stack,99,74,74.7
none,python_list,99,37,37.4
none,python_string,100,43,43.0
none,cpp_string,100,38,38.0
none,go_string,100,45,45.0
spd,python_stack,99,62,62.6
spd,python_list,99,11,11.1
spd,python_string,100,3,3.0
spd,cpp_string,100,4,4.0
spd,go_string,100,4,4.0
counter-tvd,python_stack,99,58,58.6
counter-tvd,python_list,100,15,15.0
counter-tvd,python_string,100,9,9.0
counter-tvd,cpp_string,100,12,12.0
counter-tvd,go_string,100,10,10.0
